ID	STRUCTURE	FREQUENCY	ProtoBai	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	Tuoluo	Zhoucheng	COGNATESETS
587	m	1	Ø	Ø	y/ɥ	Ø	-	y/ɥ	Ø	Ø	y/ɥ	Ø	1498:1
588	n	1	Ø	Ø	i	Ø	y	i	Ø	Ø	i	Ø	1498:2
589	t	1	Ø	Ø	⁴⁴	Ø	²⁴	⁵⁵	Ø	Ø	⁴²	Ø	1498:3
590	i	1	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	1507:0
591	n	1	i	i	i	i	i	i	i	i	i	i	1507:1
592	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	1507:2
593	i	1	t	t	q	ts	t	q	t	t	t	t	1518:0
594	n	1	æ	ɚ/ə̃	a	a	a	ã	a	ɚ/ə̃	ɔ	ɛ	1518:1
595	c	1	ŋ	-	-	-	ŋ	-	n	-	-	-	1518:2
596	t	1	⁴	⁴⁴	²¹	⁵⁵	²⁴	⁴²	⁴⁴	⁴⁴	⁴²	⁴⁴	1518:3
597	i	1	Ø	Ø	s	s	Ø	s	Ø	Ø	Ø	Ø	1519:0
598	n	1	Ø	Ø	o	a	Ø	o	Ø	Ø	Ø	Ø	1519:1
599	t	1	Ø	Ø	⁵⁵	²⁴	Ø	⁵⁵	Ø	Ø	Ø	Ø	1519:2
600	i	1	q	k	q	q	q	q	k	k	q	k	3612:0
601	n	1	ɯ	ɯ	ɯ	ɯ	e	ɯ	ɯ	ə	ɚ/ə	ɯ	3612:1
602	t	1	¹	³⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	3612:2
603	i	1	sʰ	ʂ	ɕ	ɕ	ʂ	ɕ	s	s	ɕ	s	1543:0
604	m	1	r	-	-	i/j	-	-	-	-	ɨ/j	-	1543:1
605	n	1	ɯ	ɯ	i	ɯ	i	i	ɯ	əɯ	ɯ	ɯ	1543:2
606	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	1543:3
607	i	1	ts	t	ts	ts	ʈʂ	ʈʂ	ts	ts	ʈʂ	ts	1544:0
608	m	1	r	-	-	-	-	-	-	-	-	-	1544:1
609	n	1	i	i	ɛ	ɿ	i	ɚ/ə	i	i	ɚ/ə	i	1544:2
610	t	1	²	³¹	²²	²²	²²	²²	³³	⁴⁴	³³	³³	1544:3
611	i	1	x	x	Ø	x	x	Ø	x	Ø	x	x	1564:0
612	m	1	u/w	u/w	Ø	u/w	u/w	Ø	u/w	Ø	u/w	u/w	1564:1
613	n	1	i	i	Ø	i	ɛ	Ø	i	Ø	e	i	1564:2
614	t	1	²	³³	Ø	²²	²²	Ø	³³	Ø	³³	³³	1564:3
615	i	1	Ø	Ø	f	Ø	Ø	f	Ø	f	Ø	Ø	1565:0
616	n	1	Ø	Ø	i	Ø	Ø	i	Ø	i	Ø	Ø	1565:1
617	t	1	Ø	Ø	²²	Ø	Ø	²²	Ø	³³	Ø	Ø	1565:2
618	i	1	s	ɕ	s	s	χ	s	ɕ	ɕ	ɕ	ɕ	1575:0
619	m	1	j	i/j	-	-	i/j	-	i/j	-	i/j	-	1575:1
620	n	1	e	e	ɛ	i	e	ẽ	e	e	e	i	1575:2
621	c	1	n	n	-	-	n	-	n	n	n	-	1575:3
622	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	1575:4
623	i	1	ŋ	Ø	ŋ	ŋ	ŋ	ŋ	Ø	Ø	ŋ	ŋ	1587:0
624	n	1	o	Ø	u	o	o	u	Ø	Ø	v/ʯ	o	1587:1
625	t	1	1a/¹	Ø	⁵⁵	²⁴	⁵⁵	⁵⁵	Ø	Ø	⁵⁵	³⁵	1587:2
626	i	1	ŋ	Ø	ŋ	ŋ	ŋ	ŋ	Ø	ŋ̍/ŋ	ŋ	Ø	1598:0
627	n	1	u	Ø	u	u	o	u	Ø	*/ə	v/ʯ	Ø	1598:1
628	c	1	-	Ø	-	-	-	-	Ø	ŋ	-	Ø	1598:2
629	t	1	²	Ø	²²	²²	²²	²²	Ø	³³	³³	Ø	1598:3
630	i	1	s	Ø	s	s	ʂ	ʂ	s	s	ʂ	Ø	1609:0
631	m	1	r	Ø	-	-	-	-	-	u/w	-	Ø	1609:1
632	n	1	e	Ø	ɛ	ɿ	i	ɚ/ə̃	a	ɛ	ɚ/ə̃	Ø	1609:2
633	c	1	ŋ	Ø	-	-	-	-	n	-	-	Ø	1609:3
634	t	1	¹	Ø	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁴²	⁵⁵	Ø	1609:4
635	i	1	b	p	p	b	b	p	p	p	b	p	1618:0
636	n	1	ɯ	u	ɯ	ɯ	u	ɯ	ɯ	əɯ	ɯ	ɯ	1618:1
637	t	1	¹	²¹	²¹	²¹	¹²	²¹	²¹	²¹	³⁵	²¹	1618:2
638	i	1	p	f	Ø	f	pf	f	f	p	f	f	1629:0
639	m	1	j	-	Ø	-	-	-	-	-	-	-	1629:1
640	n	1	e	v/ʯ	Ø	ᴇ/ɛ	u	i	v/ʯ	i	ɚ/ə	v/ʯ	1629:2
641	t	1	¹	³⁵	Ø	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	1629:3
642	i	1	k	k	k	k	k	k	k	k	k	k	1640:0
643	n	1	o	ou	u	u	u	o	ou	o	o	o	1640:1
644	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	1640:2
645	i	1	ɕ	Ø	Ø	Ø	Ø	Ø	s	Ø	Ø	s	1654:0
646	m	1	u/w	Ø	Ø	Ø	Ø	Ø	u/w	Ø	Ø	u/w	1654:1
647	n	1	i	Ø	Ø	Ø	Ø	Ø	ɑ̃	Ø	Ø	a	1654:2
648	t	1	²	Ø	Ø	Ø	Ø	Ø	⁵⁵	Ø	Ø	³⁵	1654:3
649	i	1	Ø	-	Ø	d	Ø	Ø	Ø	Ø	d	Ø	1652:0
650	m	1	Ø	j	Ø	i/j	Ø	Ø	Ø	Ø	i/j	Ø	1652:1
651	n	1	Ø	ɚ/ə	Ø	ɯ	Ø	Ø	Ø	Ø	ɯ	Ø	1652:2
652	t	1	Ø	⁵⁵	Ø	⁴³	Ø	Ø	Ø	Ø	²¹	Ø	1652:3
653	i	1	Ø	Ø	k	k	g	k	Ø	k	k	Ø	1653:0
654	n	1	Ø	Ø	ɯ	ɯ	o	ɯ̃	Ø	o	o	Ø	1653:1
655	c	1	Ø	Ø	-	-	ŋ	-	Ø	ŋ	ŋ	Ø	1653:2
656	t	1	Ø	Ø	⁴²	⁴³	⁵⁵	⁴²	Ø	³³	⁰	Ø	1653:3
657	i	1	Ø	ʈʂ	dʑ	Ø	ɖʐ	ɖ	ts	Ø	Ø	ts	1651:0
658	n	1	Ø	ɯ	i	Ø	i	ɯ	ɯ	Ø	Ø	ɯ	1651:1
659	t	1	Ø	²¹	⁴²	Ø	¹²	⁴²	³¹	Ø	Ø	³¹	1651:2
660	i	1	s	ɕ	s	s	ɕ	ɕ	ɕ	ɕ	ɕ	ɕ	1671:0
661	m	1	j	-	-	-	-	-	-	-	-	-	1671:1
662	n	1	i	i	i	i	i	i	i	i	i	i	1671:2
663	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁴⁴	⁴⁴	⁴⁴	⁴²	⁴⁴	1671:3
664	i	1	ɕ	ɕ	Ø	ɕ	ɕ	ɕ	ɕ	ɕ	ɕ	ɕ	1682:0
665	m	1	-	-	Ø	i/j	i/j	-	i	-	-	-	1682:1
666	n	1	o	o	Ø	o	o	õ	õ	o	o	ou	1682:2
667	c	1	ŋ	ŋ	Ø	-	ŋ	-	-	ŋ	ŋ	-	1682:3
668	t	1	¹	³⁵	Ø	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	1682:4
669	i	1	tɕ	tɕ	tɕ	ts	Ø	ʈʂ	tɕ	tɕ	tɕ	tɕ	1693:0
670	m	1	-	i/j	-	-	Ø	-	i	-	-	-	1693:1
671	n	1	a	a	a	i	Ø	ɚ/ə̃	ɑ	a	ɔ	a	1693:2
672	t	1	³	³¹	⁴²	²⁴	Ø	⁵⁵	³¹	²¹	²¹	³¹	1693:3
673	n	1	Ø	Ø	a	a	a	a	a	a	a	a	1695:0
674	t	1	Ø	Ø	⁴²	⁴³	⁵⁵	⁴²	⁴²	²¹	²¹	³¹	1695:1
675	i	1	dʑ	tɕ	dz	dz	dʑ	tɕ	tɕ	tɕʰ	ʐ	tɕ	1706:0
676	m	1	-	i/j	i/j	i/j	i/j	-	i	-	-	i/j	1706:1
677	n	1	a	a	o	a	a	a	ɑ	a	ɔ	a	1706:2
678	t	1	⁴	⁴²	⁴²	²¹	²¹	⁴²	⁴²	⁴²	⁴²	⁴²	1706:3
679	n	1	Ø	u	õ	u	õ	õ	õ	ɛ	Ø	ou	1717:0
680	t	1	Ø	³¹	²¹	²¹	¹²	²¹	²¹	³³	Ø	²¹	1717:1
681	i	1	s	ʂ	ɕ	ɕ	s	ɕ	s	s	ɕ	s	1731:0
682	m	1	-	-	u/w	i/j	-	i	-	-	i/j	-	1731:1
683	n	1	o	ou	o	o	o	õ	õ	o	o	ou	1731:2
684	c	1	ŋ	-	ŋ	-	ŋ	-	-	ŋ	ŋ	-	1731:3
685	t	1	¹	⁴⁴	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	1731:4
686	i	1	χ	x	Ø	χ	χ	Ø	x	x	x	x	1742:0
687	n	1	ɯ̃	u	Ø	ɯ	e	Ø	ə̃	ə	ẽ	ɯ	1742:1
688	c	1	-	-	Ø	-	n	Ø	-	-	-	-	1742:2
689	t	1	²	³³	Ø	²²	²²	Ø	³³	³³	³³	³³	1742:3
690	i	1	s	s	s	ɕ	ɕ	s	s	s	s	s	1751:0
691	m	1	u/w	u/w	u/w	y/ɥ	y/ɥ	-	u/w	u/w	u/w	u/w	1751:1
692	n	1	a	a	a	ᴇ/ɛ	e	õ	ɑ̃	a	a	a	1751:2
693	c	1	ŋ	ŋ	-	-	n	-	-	ŋ	ŋ	-	1751:3
694	t	1	²¹	³⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	1751:4
695	i	1	sʰ	sʰ	s	ɕ	s	s	Ø	s	s	s	1762:0
696	m	1	u/w	u/w	u/w	y/ɥ	u/w	u/w	Ø	u/w	-	u/w	1762:1
697	n	1	a	a	a	ᴇ/ɛ	a	ã	Ø	a	o	a	1762:2
698	c	1	ŋ	ŋ	-	-	ŋ	-	Ø	ŋ	ŋ	-	1762:3
699	t	1	³	³¹	⁴²	⁴²	⁴²	⁴²	Ø	²¹	²¹	³¹	1762:4
700	i	1	t	tʲ	t	t	t	t	t	t	t	t	1773:0
701	n	1	ɯ	ɯ	ɯ	ə	i	ɯ	ə	əɯ	ɯ	ɯ	1773:1
702	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	1773:2
703	i	1	k	k	ts	ts	ʈʂ	ʈʂ	k	tɕ	Ø	k	1784:0
704	m	1	r	-	-	-	-	-	-	-	Ø	-	1784:1
705	n	1	o	o	ɛ	ɿ	i	ɚ/ə	v/ʯ	u	Ø	v/ʯ	1784:2
706	t	1	²	³³	²²	²²	²²	²²	³³	³³	Ø	³³	1784:3
707	i	1	k	k	k	k	k	k	k	k	k	k	1794:0
708	n	1	o	o	u	o	o	o	õ	o	o	ou	1794:1
709	c	1	ŋ	ŋ	-	-	ŋ	ŋ	-	ŋ	ŋ	-	1794:2
710	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	1794:3
711	i	1	z	z	z	ts	z	z	s	z	z	z	1805:0
712	n	1	ɯ	i	i	ɿ	i	i	i	əɯ	i	ɯ	1805:1
713	t	1	³	²¹	⁴²	⁴³	⁴²	⁴²	³¹	²¹	²¹	⁴²	1805:2
714	i	1	s	s	s	s	s	s	s	s	s	s	1816:0
715	n	1	u	õ	y	u	ao	y	v/ʯ	ɯ	v/ʯ	i	1816:1
716	c	1	ŋ	-	-	-	-	-	-	-	-	-	1816:2
717	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	⁵⁵	1816:3
718	i	1	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	1829:0
719	m	1	-	i/j	-	-	i/j	-	i/j	-	i/j	ɨ/j	1829:1
720	n	1	e	e	i	ɨ/i	e	ĩ	e	e	e	ɛ	1829:2
721	c	1	n	n	-	-	n	-	n	n	n	-	1829:3
722	t	1	¹	³⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	1829:4
723	i	1	d	Ø	Ø	d	dz	Ø	Ø	Ø	d	Ø	1841:0
724	m	1	r	Ø	Ø	i/j	-	Ø	Ø	Ø	i/j	Ø	1841:1
725	n	1	æ	Ø	Ø	æ	a	Ø	Ø	Ø	a	Ø	1841:2
726	c	1	n	Ø	Ø	-	n	Ø	Ø	Ø	ŋ	Ø	1841:3
727	t	1	¹	Ø	Ø	²¹	¹²	Ø	Ø	Ø	³⁵	Ø	1841:4
728	i	1	Ø	x	x	Ø	Ø	x	x	x	Ø	x	1840:0
729	n	1	Ø	u	o	Ø	Ø	o	u	ə	Ø	u	1840:1
730	t	1	Ø	³³	⁵⁵	Ø	Ø	²²	³³	³³	Ø	³³	1840:2
731	i	1	sʰ	sʰ	s	ɕ	s	s	s	s	s	s	1851:0
732	m	1	u/w	u/w	u/w	y/ɥ	u/w	-	u/w	u/w	u/w	u/w	1851:1
733	n	1	a	a	a	ᴇ/ɛ	a	õ	ɑ̃	a	a	a	1851:2
734	c	1	ŋ	ŋ	-	-	ŋ	-	-	ŋ	ŋ	-	1851:3
735	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	1851:4
736	i	1	ts	ʈʂ	ts	ts	ʈʂ	ʈʂ	ts	ts	ʈʂ	ts	1862:0
737	m	1	r	-	-	-	-	-	-	-	-	-	1862:1
738	n	1	i	i	ɛ	ɿ	i	i	i	i	i	i	1862:2
739	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	1862:3
740	i	1	tʰ	ʈʂʰ	Ø	Ø	tʰ	Ø	tsʰ	Ø	tʰ	Ø	1873:0
741	m	1	r	-	Ø	Ø	-	Ø	-	Ø	-	Ø	1873:1
742	n	1	e	e	Ø	Ø	i	Ø	e	Ø	i	Ø	1873:2
743	t	1	⁴	⁴⁴	Ø	Ø	²⁴	Ø	⁴⁴	Ø	⁴²	Ø	1873:3
744	m	1	Ø	j	j	j	j	j	Ø	Ø	j	Ø	1874:0
745	n	1	Ø	i	i	i	i	i	Ø	Ø	i	Ø	1874:1
746	t	1	Ø	³¹	⁴²	²¹	²¹	⁴²	Ø	Ø	⁴²	Ø	1874:2
747	i	1	qʰ	kʰ	qʰ	qʰ	qʰ	qʰ	kʰ	kʰ	qʰ	kʰ	1885:0
748	n	1	æ	ɚ/ə	a	æ	æ	a	a	ɚ/ə	a	ɛ	1885:1
749	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	1885:2
750	i	1	ɕ	ɕ	Ø	Ø	Ø	Ø	ɕ	Ø	Ø	Ø	1896:0
751	n	1	a	a	Ø	Ø	Ø	Ø	ɔ	Ø	Ø	Ø	1896:1
752	t	1	-	⁴⁴	Ø	Ø	Ø	Ø	⁴⁴	Ø	Ø	Ø	1896:2
753	i	1	Ø	Ø	t	t	d	ʈ	Ø	t	d	t	1897:0
754	m	1	Ø	Ø	-	i/j	-	-	Ø	-	i/j	-	1897:1
755	n	1	Ø	Ø	i	ɯ	i	e	Ø	ɛ	ɯ	ɯ	1897:2
756	t	1	Ø	Ø	²¹	²¹	²⁴	²¹	Ø	²¹	³⁵	²¹	1897:3
757	i	1	Ø	Ø	m	m	m	m	Ø	m	m	m	1898:0
758	m	1	Ø	Ø	-	i	i/j	-	Ø	-	-	-	1898:1
759	n	1	Ø	Ø	i	ᴇ/ɛ	ɛ	e	Ø	ɛ	e	a	1898:2
760	t	1	Ø	Ø	⁵⁵	²⁴	¹²	⁵⁵	Ø	-	⁵⁵	³⁵	1898:3
761	i	1	sʰ	ʂʰ	ɕ	ɕ	ʂ	ɕ	s	s	ɕ	s	1914:0
762	m	1	r	-	-	i/j	-	-	-	-	i/j	-	1914:1
763	n	1	ɯ	ɯ	i	ɯ	i	i	ɯ	əɯ	ɯ	ɯ	1914:2
764	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	1914:3
765	i	1	dʑ	ts	dʑ	dʑ	dz	dʑ	ts	dz	Ø	ts	1925:0
766	n	1	ɯ	ɯ	i	ɯ	i	i	i	əɯ	Ø	ɯ	1925:1
767	t	1	²	³³	²²	²²	²²	²²	³³	³³	Ø	³³	1925:2
768	i	1	p	p	p	p	p	p	p	p	p	p	1936:0
769	n	1	ɯ	u	ɯ	ɯ	u	u	u	əɯ	ɯ	u	1936:1
770	t	1	²	³³	²²	²²	³³	²²	³³	³³	³³	³³	1936:2
771	i	1	b	p	b	Ø	b	b	Ø	Ø	b	p	1947:0
772	n	1	ɔ	u	o	Ø	a	o	Ø	Ø	o	o	1947:1
773	t	1	³	³¹	⁴²	Ø	⁴²	⁴²	Ø	Ø	²¹	³¹	1947:2
774	i	1	d	t	tɕ	t	d	ʈ	t	t	d	t	1958:0
775	m	1	j	-	-	i	-	-	-	-	i/j	-	1958:1
776	n	1	ɯ	i	u	u	i	o	ə	a	ɯ	ɯ	1958:2
777	t	1	¹	⁴²	²²	²¹	²¹	²²	³¹	⁴²	³⁵	³¹	1958:3
778	i	1	s	ɕ	s	s	ɕ	s	ɕ	ɕ	ɕ	ɕ	1969:0
779	m	1	j	i/j	-	-	-	-	i/j	-	i/j	-	1969:1
780	n	1	e	e	ɛ	i	i	ẽ	e	e	e	i	1969:2
781	c	1	n	n	-	-	n	-	n	n	n	-	1969:3
782	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	1969:4
783	i	1	ʔ	-	ʔ	Ø	u/w	u/w	ʔ	ŋ	u/w	u/w	1980:0
784	m	1	u/w	w	u/w	Ø	-	-	u/w	u/w	-	-	1980:1
785	n	1	e	e	ɛ̃	Ø	e	ẽ	e	ɛ	e	ɛ	1980:2
786	c	1	n	n	-	Ø	n	-	n	-	n	-	1980:3
787	t	1	¹	³⁵	⁵⁵	Ø	²²	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	1980:4
788	i	1	ɖʐ	ʈʂ	dʑ	ɖʐ	dz	dʑ	ts	ts	ʐ	ts	1991:0
789	n	1	u	õ	o	o	o	õ	ṽ/ʯ̃	õ	v/ʯ	v/ʯ	1991:1
790	c	1	ŋ	-	-	-	ŋ	-	-	-	ŋ	-	1991:2
791	t	1	²	³³	²²	²²	²²	²²	³³	²¹	³³	³³	1991:3
792	i	1	ɣ	Ø	Ø	q	ɣ	q	Ø	k	Ø	k	2002:0
793	n	1	æ	Ø	Ø	a	a	a	Ø	e	Ø	a	2002:1
794	c	1	-	Ø	Ø	-	-	-	Ø	n	Ø	-	2002:2
795	t	1	¹	Ø	Ø	²¹	¹²	²¹	Ø	²¹	Ø	²¹	2002:3
796	i	1	s	s	Ø	s	s	Ø	s	s	s	Ø	2010:0
797	n	1	i	i	Ø	i	i	Ø	i	i	i	Ø	2010:1
798	t	1	²	³³	Ø	³³	³³	Ø	³³	³³	³³	Ø	2010:2
799	i	1	dz	ts	ts	ts	dz	ts	ts	ts	z	ts	2018:0
800	n	1	o	o	u	o	o	õ	õ	o	o	ou	2018:1
801	c	1	ŋ	ŋ	-	-	ŋ	-	-	ŋ	ŋ	-	2018:2
802	t	1	¹	²¹	²¹	²¹	¹²	⁴²	²¹	²¹	³⁵	²¹	2018:3
803	i	1	b	b	b	b	b	b	p	p	b	b	2040:0
804	m	1	-	-	-	-	-	-	-	i/j	-	-	2040:1
805	n	1	o	au	o	o	õ	o	ao	o	o	o	2040:2
806	c	1	ŋ	-	-	-	-	-	-	-	ŋ	-	2040:3
807	t	1	²	³³	²²	²²	²²	²²	³¹	⁴⁴	³³	³³	2040:4
808	i	1	ɖʐ	ʈʂ	tɕ	tɕ	dz	tɕ	ts	dz	ʐ	ts	2051:0
809	n	1	u	o	u	o	ao	u	ṽ/ʯ̃	u	v/ʯ	v/ʯ	2051:1
810	c	1	ŋ	-	-	-	-	-	-	-	ŋ	-	2051:2
811	t	1	¹	²¹	²¹	²¹	¹²	²¹	²¹	²¹	³⁵	²¹	2051:3
812	i	1	b	Ø	p	p	b	p	Ø	Ø	b	p	2062:0
813	n	1	ã	Ø	u	o	ao	õ	Ø	Ø	o	a	2062:1
814	t	1	¹	Ø	²¹	²¹	¹²	²¹	Ø	Ø	³⁵	²¹	2062:2
815	i	1	ts	ts	ts	d	ts	ts	ts	ts	tʲʰ	ts	2064:0
816	n	1	i	i	i	a	i	i	i	i	o	i	2064:1
817	t	1	²	³³	²²	⁴³	²²	²	³³	³³	²¹	⁴⁴	2064:2
818	i	1	q	k	q	q	q	q	k	k	q	k	2074:0
819	n	1	ɔ	o	o	o	ao	o	v/ʯ	o	o	v/ʯ	2074:1
820	c	1	-	-	-	-	-	-	-	ŋ	-	-	2074:2
821	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	2074:3
822	i	1	m	m	m	m	m	m	m	m	m	m	2085:0
823	n	1	æ	ɚ/ə	a	æ	æ	o	a	ɚ/ə	a	ɛ	2085:1
824	c	1	-	-	-	-	-	-	n	-	-	-	2085:2
825	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	2085:3
826	i	1	n	-	ɲ	ɲ	ɲ	ɲ	-	ɲ	-	ɲ	2096:0
827	m	1	j	j	-	-	-	-	j	i/j	j	i/j	2096:1
828	n	1	e	e	i	i	i	i	ẽ	ɛ	e	e	2096:2
829	c	1	-	n	-	-	-	-	-	-	n	-	2096:3
830	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁴⁴	⁴⁴	⁴⁴	⁴²	⁴⁴	2096:4
831	i	1	h	Ø	Ø	Ø	h	Ø	Ø	Ø	h	h	2108:0
832	n	1	ɔ	Ø	Ø	Ø	a	Ø	Ø	Ø	ɔ	o	2108:1
833	t	1	³	Ø	Ø	Ø	⁴²	Ø	Ø	Ø	²¹	³¹	2108:2
834	i	1	Ø	x	x	x	Ø	x	x	x	Ø	Ø	2107:0
835	n	1	Ø	ou	o	o	Ø	o	ou	o	Ø	Ø	2107:1
836	t	1	Ø	³¹	⁴²	⁴³	Ø	⁴²	³¹	²¹	Ø	Ø	2107:2
837	i	1	b	p	p	b	b	b	p	b	b	p	2118:0
838	n	1	ɯ	u	ɯ	ɯ	u	u	u	ɯ	ɯ	o	2118:1
839	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	⁵⁵	2118:2
840	i	1	p	p	p	p	p	p	p	p	p	p	2130:0
841	n	1	æ	ɚ/ə	a	æ	æ	a	a	ɚ/ə	a	ə	2130:1
842	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	2130:2
843	i	1	sʰ	ʂ	ɕ	ɕ	s	ɕ	s	ɕ	ɕ	Ø	2141:0
844	m	1	r	-	i/j	i/j	-	i	-	y/ɥ	i/j	Ø	2141:1
845	n	1	o	ou	o	o	o	õ	ou	ɛ	o	Ø	2141:2
846	c	1	ŋ	-	ŋ	-	ŋ	-	-	-	ŋ	Ø	2141:3
847	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁴⁴	⁵⁵	Ø	2141:4
848	i	1	Ø	pʰ	Ø	p	Ø	Ø	pʰ	pʰ	Ø	-	2143:0
849	m	1	Ø	i/j	Ø	-	Ø	Ø	i/j	i/j	Ø	j	2143:1
850	n	1	Ø	ɚ/ə	Ø	æ	Ø	Ø	ɛ	e	Ø	ɯ	2143:2
851	c	1	Ø	-	Ø	-	Ø	Ø	-	n	Ø	-	2143:3
852	t	1	Ø	⁵⁵	Ø	²²	Ø	Ø	⁵⁵	³³	Ø	²¹	2143:4
853	i	1	b	Ø	p	b	b	p	Ø	p	b	p	2163:0
854	n	1	ɯ	Ø	u	ɯ	u	ɯ	Ø	ə	ɯ	ɯ	2163:1
855	t	1	¹	Ø	²¹	²¹	¹²	²¹	Ø	²¹	³⁵	²¹	2163:2
856	i	1	d	ʈʂ	dz	t	Ø	ʈ	ts	ts	d	ts	2174:0
857	m	1	r	-	ɨ/j	i/j	Ø	-	-	-	-	-	2174:1
858	n	1	o	o	ɯ	o	Ø	õ	õ	o	v/ʯ	ou	2174:2
859	c	1	ŋ	ŋ	-	-	Ø	-	-	ŋ	-	-	2174:3
860	t	1	¹	²¹	²¹	²¹	Ø	²¹	²¹	²¹	³⁵	²¹	2174:4
861	i	1	tʰ	tʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tʰ	tʰ	tɕʰ	tʰ	2184:0
862	n	1	e	e	i	i	i	i	e	ɛ	i	ɛ	2184:1
863	t	1	⁴	⁴⁴	⁵⁵	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	³³	2184:2
864	i	1	ŋ	Ø	ŋ	ŋ	u/w	u/w	Ø	v	Ø	u/w	2195:0
865	m	1	u/w	Ø	u/w	u/w	-	-	Ø	-	Ø	-	2195:1
866	n	1	e	Ø	ɛ	i	e	ẽ	Ø	e	Ø	e	2195:2
867	c	1	n	Ø	-	-	n	-	Ø	n	Ø	-	2195:3
868	t	1	1b/¹	Ø	²¹	²¹	¹²	²¹	Ø	²¹	Ø	²¹	2195:4
869	i	1	b	Ø	u/w	f	b	u/w	v	k	v	Ø	2207:0
870	m	1	j	Ø	-	-	v	-	-	u/w	-	Ø	2207:1
871	n	1	ɛ	Ø	i	ᴇ/ɛ	u	e	u	a	ɚ/ə	Ø	2207:2
872	t	1	⁴	Ø	⁴²	²¹	²¹	²¹	⁴²	⁴²	⁴²	Ø	2207:3
873	i	1	Ø	x	qʰ	Ø	Ø	Ø	Ø	ts	Ø	Ø	2205:0
874	n	1	Ø	u	o	Ø	Ø	Ø	Ø	i	Ø	Ø	2205:1
875	t	1	Ø	⁴²	²²	Ø	Ø	Ø	Ø	³³	Ø	Ø	2205:2
876	i	1	Ø	ʈʂʰ	ts	Ø	dz	s	ts	tsʰ	Ø	ts	2218:0
877	n	1	Ø	ou	ɛ	Ø	u	o	ou	o	Ø	ou	2218:1
878	t	1	Ø	⁴²	⁴⁴	Ø	²¹	²²	⁴²	⁴²	Ø	⁴²	2218:2
879	i	1	Ø	k	ts	dz	ʈʂ	tɕ	k	tɕ	ʐ	k	2231:0
880	n	1	Ø	o	u	ɿ	i	ĩ	v/ʯ	u	ɚ/ə̃	v/ʯ	2231:1
881	t	1	Ø	²¹	²¹	⁴³	⁴²	²¹	³¹	²¹	²¹	³¹	2231:2
