ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	STRUCTURE	ALIGNMENT	CROSSIDS	COGID
2053	Jinman	lock (the door)	so22	so22	s o ²²	2439	i n t	s o ²²	2439	329
2054	Jinxing	lock (the door)	tsou42	tsou42	ts ou ⁴²	2439	i n t	ts ou ⁴²	2439	329
2055	Dashi	lock (the door)	su33	su33	s u ³³	2439	i n t	s u ³³	2439	329
2056	Zhoucheng	lock (the door)	so33	so33	s o ³³	2439	i n t	s o ³³	2439	329
2057	Mazhelong	lock (the door)	tsʰo55	tsʰo55	tsʰ o ⁵⁵	2439	i n t	tsʰ o ⁵⁵	2439	329
2058	ProtoBai	long	droŋ1	droŋ1	d r o ŋ ¹	2450	i m n c t	d r o ŋ ¹	2450	330
2059	Tuoluo	long	dv35	dv35	d v/ʯ ³⁵	2450	i n t	d - v/ʯ - ³⁵	2450	330
2060	Gongxing	long	dʑou12	dʑou12	dʑ ou ¹²	2450	i n t	dʑ - ou - ¹²	2450	330
2061	Enqi	long	tjo21	tjo21	tʲ o ²¹	2450	i n t	tʲ - o - ²¹	2450	330
2062	Ega	long	tɕu21	tɕu21	tɕ u ²¹	2450	i n t	tɕ - u - ²¹	2450	330
2063	Jinman	long	ʈõ21	ʈõ21	ʈ õ ²¹	2450	i n t	ʈ - õ - ²¹	2450	330
2064	Jinxing	long	tsõ21	tsõ21	ts õ ²¹	2450	i n t	ts - õ - ²¹	2450	330
2065	Dashi	long	tʂõ21	tʂõ21	ʈʂ õ ²¹	2450	i n t	ʈʂ - õ - ²¹	2450	330
2066	Zhoucheng	long	tsou21	tsou21	ts ou ²¹	2450	i n t	ts - ou - ²¹	2450	330
2067	Mazhelong	long	tsoŋ21	tsoŋ21	ts o ŋ ²¹	2450	i n c t	ts - o ŋ ²¹	2450	330
2068	ProtoBai	lose (a game)	tsʰreŋ1	tsʰreŋ1	tsʰ r e ŋ ¹	2463	i m n c t	tsʰ r e ŋ ¹	2463	332
2069	Tuoluo	lose (a game)	tʂʰɚ̃55[//ʂv55]	tʂʰɚ̃55	ʈʂʰ ɚ/ə̃ ⁵⁵	2461	i n t	ʈʂʰ ɚ/ə̃ ⁵⁵	2461	331
2070	Tuoluo	lose (a game)	tʂʰɚ̃55[//ʂv55]	ʂv55]	ʂ v/ʯ ⁵⁵	5256	i n t	ʂ v/ʯ ⁵⁵	5256	331
2071	Gongxing	lose (a game)	tʂi22	tʂi22	ʈʂ i ²²	2461	i n t	ʈʂ i ²²	2461	331
2072	Enqi	lose (a game)	tsʰɿ24	tsʰɿ24	tsʰ ɿ ²⁴	2461	i n t	tsʰ ɿ ²⁴	2461	331
2073	Ega	lose (a game)	(a42ɣo21)	a42ɣo21	a ⁴² + ɣ o ²¹	2462 2461	n t + i n t	a ⁴² + ɣ o ²¹	2462 2461	331
2074	Jinman	lose (a game)	tʂɚ55	tʂɚ55	ʈʂ ɚ/ə ⁵⁵	2461	i n t	ʈʂ ɚ/ə ⁵⁵	2461	331
2075	Jinxing	lose (a game)	tsʰi55	tsʰi55	tsʰ i ⁵⁵	2461	i n t	tsʰ i ⁵⁵	2461	331
2076	Dashi	lose (a game)	[ʂo35]	ʂo35	ʂ o ³⁵	2461	i n t	ʂ o ³⁵	2461	331
2077	Zhoucheng	lose (a game)	tsʰi55	tsʰi55	tsʰ i ⁵⁵	2461	i n t	tsʰ i ⁵⁵	2461	331
2078	Mazhelong	lose (a game)	[ɕy55]	ɕy55	ɕ y ⁵⁵	2461	i n t	ɕ y ⁵⁵	2461	331
2079	ProtoBai	loud	mæ1b	mæ1b	m æ 1b/¹	2474	i n t	m æ - 1b/¹	2474	333
2080	Tuoluo	loud	ma35	ma35	m a ³⁵	2474	i n t	m a - ³⁵	2474	333
2081	Gongxing	loud	mæ12	mæ12	m æ ¹²	2474	i n t	m æ - ¹²	2474	333
2082	Enqi	loud	mæ12	mæ12	m æ ¹²	2474	i n t	m æ - ¹²	2474	333
2083	Ega	loud	(do42)	do42	d o ⁴²	2475	i n t	d o ⁴²	2475	334
2084	Jinman	loud	ma21	ma21	m a ²¹	2474	i n t	m a - ²¹	2474	333
2085	Jinxing	loud	man21	man21	m a n ²¹	2474	i n c t	m a n ²¹	2474	333
2086	Dashi	loud	mɚ21	mɚ21	m ɚ/ə ²¹	2474	i n t	m ɚ/ə - ²¹	2474	333
2087	Mazhelong	loud	mɚ̃21	mɚ̃21	m ɚ/ə̃ ²¹	2474	i n t	m ɚ/ə̃ - ²¹	2474	333
2088	ProtoBai	louse	ɕi4	ɕi4	ɕ i ⁴	2484	i n t	ɕ - i ⁴	2484	335
2089	Tuoluo	louse	ɕi42	ɕi42	ɕ i ⁴²	2484	i n t	ɕ - i ⁴²	2484	335
2090	Gongxing	louse	ɕi24	ɕi24	ɕ i ²⁴	2484	i n t	ɕ - i ²⁴	2484	335
2091	Enqi	louse	ɕi55	ɕi55	ɕ i ⁵⁵	2484	i n t	ɕ - i ⁵⁵	2484	335
2092	Ega	louse	ɕi44	ɕi44	ɕ i ⁴⁴	2484	i n t	ɕ - i ⁴⁴	2484	335
2093	Jinman	louse	ɕi55	ɕi55	ɕ i ⁵⁵	2484	i n t	ɕ - i ⁵⁵	2484	335
2094	Jinxing	louse	ɕi44	ɕi44	ɕ i ⁴⁴	2484	i n t	ɕ - i ⁴⁴	2484	335
2095	Dashi	louse	ɕi33	ɕi33	ɕ i ³³	2484	i n t	ɕ - i ³³	2484	335
2096	Zhoucheng	louse	ɕie44	ɕie44	ɕ i/j e ⁴⁴	2484	i m n t	ɕ i/j e ⁴⁴	2484	335
2097	Mazhelong	louse	ɕi44	ɕi44	ɕ i ⁴⁴	2484	i n t	ɕ - i ⁴⁴	2484	335
2098	ProtoBai	love; like	gɔ1	gɔ1	g ɔ ¹	2495	i n t	g ɔ ¹	2495	336
2099	Tuoluo	love; like	gɔ35	gɔ35	g ɔ ³⁵	2495	i n t	g ɔ ³⁵	2495	336
2100	Gongxing	love; like	gao112	gao112	g ao 112/¹²	2495	i n t	g ao 112/¹²	2495	336
2101	Enqi	love; like	ko21	ko21	k o ²¹	2495	i n t	k o ²¹	2495	336
2102	Ega	love; like	ko21	ko21	k o ²¹	2495	i n t	k o ²¹	2495	336
2103	Jinman	love; like	ko21	ko21	k o ²¹	2495	i n t	k o ²¹	2495	336
2104	Jinxing	love; like	kou21	kou21	k ou ²¹	2495	i n t	k ou ²¹	2495	336
2105	Dashi	love; like	ku21	ku21	k u ²¹	2495	i n t	k u ²¹	2495	336
2106	Zhoucheng	love; like	ko21	ko21	k o ²¹	2495	i n t	k o ²¹	2495	336
2107	Mazhelong	love; like	ko21	ko21	k o ²¹	2495	i n t	k o ²¹	2495	336
2108	ProtoBai	low; short	bri2	bri2	b r i ²	2506	i m n t	b r i ²	2506	337
2109	Tuoluo	low; short	ʑyi33	ʑyi33	ʑ y/ɥ i ³³	2507	i m n t	ʑ y/ɥ i ³³	4489	338
2110	Gongxing	low; short	dʑy22	dʑy22	dʑ y ²²	2507	i n t	dʑ - y ²²	4489	338
2111	Enqi	low; short	dzyE22	dzyE22	dz y/ɥ ᴇ/ɛ ²²	2507	i m n t	dz y/ɥ ᴇ/ɛ ²²	4489	338
2112	Ega	low; short	dʑyi22	dʑyi22	dʑ y/ɥ i ²²	2507	i m n t	dʑ y/ɥ i ²²	4489	338
2113	Jinman	low; short	dʑyẽ22	dʑyẽ22	dʑ y/ɥ ẽ ²²	2507	i m n t	dʑ y/ɥ ẽ ²²	4489	338
2114	Jinxing	low; short	pi33	pi33	p i ³³	2506	i n t	p - i ³³	2506	337
2115	Dashi	low; short	pi33	pi33	p i ³³	2506	i n t	p - i ³³	2506	337
2116	Zhoucheng	low; short	pi33	pi33	p i ³³	2506	i n t	p - i ³³	2506	337
2117	Mazhelong	low; short	pi33	pi33	p i ³³	2506	i n t	p - i ³³	2506	337
2118	ProtoBai	lukewarm	ʔuen1	ʔuen1	ʔ u/w e n ¹	2517	i m n c t	ʔ u/w e n ¹	2517	339
2119	Tuoluo	lukewarm	uen55	uen55	u/w e n ⁵⁵	2517	i n c t	u/w - e n ⁵⁵	2517	339
2120	Gongxing	lukewarm	uen22	uen22	u/w e n ²²	2517	i n c t	u/w - e n ²²	2517	339
2121	Enqi	lukewarm	ʔuE24	ʔuE24	ʔ u ᴇ/ɛ ²⁴	2518	i m n t	ʔ u ᴇ/ɛ ²⁴	2518	340
2122	Ega	lukewarm	ʔuɛ̃55	ʔuɛ̃55	ʔ u/w ɛ̃ ⁵⁵	2517	i m n t	ʔ u/w ɛ̃ - ⁵⁵	2517	339
2123	Jinman	lukewarm	uẽ22	uẽ22	u/w ẽ ²²	2517	i n t	u/w - ẽ - ²²	2517	339
2124	Jinxing	lukewarm	ʔuen55	ʔuen55	ʔ u/w e n ⁵⁵	2517	i m n c t	ʔ u/w e n ⁵⁵	2517	339
2125	Dashi	lukewarm	uen35	uen35	u/w e n ³⁵	2517	i n c t	u/w - e n ³⁵	2517	339
2126	Zhoucheng	lukewarm	uɛ35	uɛ35	u/w ɛ ³⁵	2517	i n t	u/w - ɛ - ³⁵	2517	339
2127	Mazhelong	lukewarm	(men33tʰen33)	men33tʰen33	m e n ³³ + tʰ e n ³³	2517 2519	i n c t + i n c t	m - e n ³³ + tʰ e n ³³	2517 2519	339
2128	ProtoBai	lung	pʰra4	pʰra4	pʰ r a ⁴	2531	i m n t	pʰ r a ⁴	2531	343
2129	Tuoluo	lung	tɕʰuo42	tɕʰuo42	tɕʰ u/w o ⁴²	2532	i m n t	tɕʰ u/w o ⁴²	2532	344
2130	Gongxing	lung	tʂua24	tʂua24	ʈʂ u/w a ²⁴	2532	i m n t	ʈʂ u/w a ²⁴	2532	344
2131	Enqi	lung	pʰia55	pʰia55	pʰ i/j a ⁵⁵	2531	i m n t	pʰ i/j a ⁵⁵	2531	343
2132	Ega	lung	tɕʰya44	tɕʰya44	tɕʰ y a ⁴⁴	2530	i m n t	tɕʰ y a ⁴⁴	2530	342
2133	Jinman	lung	tɕʰya55	tɕʰya55	tɕʰ y a ⁵⁵	2530	i m n t	tɕʰ y a ⁵⁵	2530	342
2134	Jinxing	lung	pʰio44	pʰio44	pʰ i/j o ⁴⁴	2531	i m n t	pʰ i/j o ⁴⁴	2531	343
2135	Dashi	lung	[fi44]	fi44	f i ⁴⁴	2529	i n t	f i ⁴⁴	2529	341
2136	Zhoucheng	lung	pʰia44	pʰia44	pʰ i/j a ⁴⁴	2531	i m n t	pʰ i/j a ⁴⁴	2531	343
2137	Mazhelong	lung	pʰio44	pʰio44	pʰ i/j o ⁴⁴	2531	i m n t	pʰ i/j o ⁴⁴	2531	343
2138	ProtoBai	maggot	dzro1	dzro1	ɖʐ o ¹	2540	i n t	ɖʐ - o - ¹	2540	345
2139	Tuoluo	maggot	ʐy35	ʐy35	ʐ y ³⁵	2540	i n t	ʐ - y - ³⁵	2540	345
2140	Gongxing	maggot	dzao12	dzao12	dz ao ¹²	2540	i n t	dz - ao - ¹²	2540	345
2141	Enqi	maggot	tɕio21	tɕio21	tɕ i/j o ²¹	2540	i m n t	tɕ i/j o - ²¹	2540	345
2142	Ega	maggot	tɕiu21	tɕiu21	tɕ i u ²¹	2540	i m n t	tɕ i u - ²¹	2540	345
2143	Jinman	maggot	tɕiu21	tɕiu21	tɕ i u ²¹	2540	i m n t	tɕ i u - ²¹	2540	345
2144	Jinxing	maggot	tsṽ21	tsṽ21	ts ṽ/ʯ̃ ²¹	2540	i n t	ts - ṽ/ʯ̃ - ²¹	2540	345
2145	Dashi	maggot	tʂo21	tʂo21	ʈʂ o ²¹	2540	i n t	ʈʂ - o - ²¹	2540	345
2146	Zhoucheng	maggot	tsv21	tsv21	ts v/ʯ ²¹	2540	i n t	ts - v/ʯ - ²¹	2540	345
2147	Mazhelong	maggot	(zen21)	zen21	z e n ²¹	2540	i n c t	z - e n ²¹	2540	345
2148	ProtoBai	man	tsi2	tsi2	ts i ²	2551	i n t	ts i ²	2064	346
2149	Tuoluo	man	(ɕia55tjʰo21po55)	ɕia55tjʰo21po55	ɕ i/j a ⁵⁵ + tʲʰ o ²¹ + p o ⁵⁵	2553 2551 2554	i m n t + i n t + i n t	ɕ i/j a ⁵⁵ + tʲʰ o ²¹ + p o ⁵⁵	2553 2064 2554	346
2150	Gongxing	man	tsi22	tsi22	ts i ²²	2551	i n t	ts i ²²	2064	346
2151	Enqi	man	(da43xo24)	da43xo24	d a ⁴³ + x o ²⁴	2551 2552	i n t + i n t	d a ⁴³ + x o ²⁴	2064 2552	346
2152	Ega	man	tsi22	tsi22	ts i ²²	2551	i n t	ts i ²²	2064	346
2153	Jinman	man	tsi2	tsi2	ts i ²	2551	i n t	ts i ²	2064	346
2154	Jinxing	man	tsi33	tsi33	ts i ³³	2551	i n t	ts i ³³	2064	346
2155	Dashi	man	tsi33	tsi33	ts i ³³	2551	i n t	ts i ³³	2064	346
2156	Zhoucheng	man	tsi44	tsi44	ts i ⁴⁴	2551	i n t	ts i ⁴⁴	2064	346
2157	Mazhelong	man	tsi33	tsi33	ts i ³³	2551	i n t	ts i ³³	2064	346
2158	ProtoBai	many	tjɯ1	tjɯ1	tʲ ɯ ¹	2565	i n t	tʲ - ɯ ¹	2565	347
2159	Tuoluo	many	tɕiɯ55	tɕiɯ55	tɕ i/j ɯ ⁵⁵	2565	i m n t	tɕ i/j ɯ ⁵⁵	2565	347
2160	Gongxing	many	ti55	ti55	t i ⁵⁵	2565	i n t	t - i ⁵⁵	2565	347
2161	Enqi	many	ti24	ti24	t i ²⁴	2565	i n t	t - i ²⁴	2565	347
2162	Ega	many	ti55	ti55	t i ⁵⁵	2565	i n t	t - i ⁵⁵	2565	347
2163	Jinman	many	ti55	ti55	t i ⁵⁵	2565	i n t	t - i ⁵⁵	2565	347
2164	Jinxing	many	tɕi55	tɕi55	tɕ i ⁵⁵	2565	i n t	tɕ - i ⁵⁵	2565	347
2165	Dashi	many	tɕi35	tɕi35	tɕ i ³⁵	2565	i n t	tɕ - i ³⁵	2565	347
2166	Zhoucheng	many	tɕi35	tɕi35	tɕ i ³⁵	2565	i n t	tɕ - i ³⁵	2565	347
2167	Mazhelong	many	ti55	ti55	t i ⁵⁵	2565	i n t	t - i ⁵⁵	2565	347
2168	ProtoBai	mare	horse+mother	mæ2+mø2	m æ ² + m ø ²	2576 2577	i n t + i n t	m æ - ² + m ø ²	2576 2577	348
2169	Tuoluo	mare	ma33mo33	ma33mo33	m a ³³ + m o ³³	2576 2577	i n t + i n t	m a - ³³ + m o ³³	2576 2577	348
2170	Gongxing	mare	mæ22mu22	mæ22mu22	m æ ²² + m u ²²	2576 2577	i n t + i n t	m æ - ²² + m u ²²	2576 2577	348
2171	Enqi	mare	mE22mo22	mE22mo22	m ᴇ/ɛ ²² + m o ²²	2576 2577	i n t + i n t	m ᴇ/ɛ - ²² + m o ²²	2576 2577	348
2172	Jinman	mare	mo22mo22	mo22mo22	m o ²² + m o ²²	2577 2576	i n t + i n t	m o ²² + m o - ²²	2577 2576	348
2173	Jinxing	mare	man33mõ33	man33mõ33	m a n ³³ + m õ ³³	2576 2577	i n c t + i n t	m a n ³³ + m õ ³³	2576 2577	348
2174	Dashi	mare	mɚ33mõ33	mɚ33mõ33	m ɚ/ə ³³ + m õ ³³	2576 2577	i n t + i n t	m ɚ/ə - ³³ + m õ ³³	2576 2577	348
2175	ProtoBai	mare	ɕa4	ɕa4	ɕ a ⁴	2578	i n t	ɕ - a ⁴	2578	348
2176	Tuoluo	mare	ɕia42	ɕia42	ɕ i/j a ⁴²	2578	i m n t	ɕ i/j a ⁴²	2578	348
2177	Gongxing	mare	ɕia24	ɕia24	ɕ i/j a ²⁴	2578	i m n t	ɕ i/j a ²⁴	2578	348
2178	Enqi	mare	ɕia55	ɕia55	ɕ i/j a ⁵⁵	2578	i m n t	ɕ i/j a ⁵⁵	2578	348
2179	Ega	mare	(mi21)	mi21	m i ²¹	2576	i n t	m i - ²¹	2576	348
2180	Jinman	mare	(mie21)	mie21	m i/j e ²¹	5257	i m n t	m i/j e ²¹	5257	348
2181	Jinxing	mare	ɕɑ44	ɕɑ44	ɕ ɑ ⁴⁴	2578	i n t	ɕ - ɑ ⁴⁴	2578	348
2182	Zhoucheng	mare	[mɛ33tsou35]	mɛ33tsou35	m ɛ ³³ + ts ou ³⁵	2576 2578	i n t + i n t	m ɛ - ³³ + ts - ou ³⁵	2576 2578	348
2183	ProtoBai	meat	ɢæ1	ɢæ1	ɣ æ ¹	2600	i n t	ɣ æ ¹	2600	349
2184	Tuoluo	meat	ʁa35	ʁa35	ʁ a ³⁵	2601	i n t	ʁ a ³⁵	2601	350
2185	Gongxing	meat	ɢæ12	ɢæ12	ɣ æ ¹²	2600	i n t	ɣ æ ¹²	2600	349
2186	Enqi	meat	qæ21	qæ21	q æ ²¹	2600	i n t	q æ ²¹	2600	349
2187	Ega	meat	qa21	qa21	q a ²¹	2600	i n t	q a ²¹	2600	349
2188	Jinman	meat	qa21	qa21	q a ²¹	2600	i n t	q a ²¹	2600	349
2189	Jinxing	meat	ka21	ka21	k a ²¹	2600	i n t	k a ²¹	2600	349
2190	Dashi	meat	kɚ21	kɚ21	k ɚ/ə ²¹	2600	i n t	k ɚ/ə ²¹	2600	349
2191	Zhoucheng	meat	kɛ21	kɛ21	k ɛ ²¹	2600	i n t	k ɛ ²¹	2600	349
2192	Mazhelong	meat	kɚ21	kɚ21	k ɚ/ə ²¹	2600	i n t	k ɚ/ə ²¹	2600	349
2193	ProtoBai	medicine	jɔ4	jɔ4	j ɔ ⁴	2611	m n t	j ɔ ⁴	2611	351
2194	Tuoluo	medicine	jɔ42	jɔ42	j ɔ ⁴²	2611	m n t	j ɔ ⁴²	2611	351
2195	Gongxing	medicine	ju42	ju42	j u ⁴²	2611	m n t	j u ⁴²	2611	351
2196	Enqi	medicine	ju55	ju55	j u ⁵⁵	2611	m n t	j u ⁵⁵	2611	351
2197	Ega	medicine	ju44	ju44	j u ⁴⁴	2611	m n t	j u ⁴⁴	2611	351
2198	Jinman	medicine	jo55	jo55	j o ⁵⁵	2611	m n t	j o ⁵⁵	2611	351
2199	Jinxing	medicine	jou44	jou44	j ou ⁴⁴	2611	m n t	j ou ⁴⁴	2611	351
2200	Dashi	medicine	jou44	jou44	j ou ⁴⁴	2611	m n t	j ou ⁴⁴	2611	351
2201	Zhoucheng	medicine	jou44	jou44	j ou ⁴⁴	2611	m n t	j ou ⁴⁴	2611	351
2202	Mazhelong	medicine	jo44	jo44	j o ⁴⁴	2611	m n t	j o ⁴⁴	2611	351
2203	ProtoBai	monkey	suaŋ1	suaŋ1	s u/w a ŋ ¹	2622	i m n c t	s u/w a ŋ ¹	2622	352
2204	Tuoluo	monkey	(ŋe35)sɔŋ55	sɔŋ55	s ɔ ŋ ⁵⁵	2622	i n c t	s - ɔ ŋ ⁵⁵	2622	352
2205	Gongxing	monkey	(ʁaŋ12)ɕyen55	ɕyen55	ɕ y/ɥ e n ⁵⁵	2622	i m n c t	ɕ y/ɥ e n ⁵⁵	2622	352
2206	Enqi	monkey	(u21)ɕyE24	ɕyE24	ɕ y/ɥ ᴇ/ɛ ²⁴	2622	i m n t	ɕ y/ɥ ᴇ/ɛ - ²⁴	2622	352
2207	Ega	monkey	(ŋõ21)sua55	sua55	s u/w a ⁵⁵	2622	i m n t	s u/w a - ⁵⁵	2622	352
2208	Jinman	monkey	(õ21)sõ55	sõ55	s õ ⁵⁵	2622	i n t	s - õ - ⁵⁵	2622	352
2209	Jinxing	monkey	(ɣou21)suɑ̃55	suɑ̃55	s u/w ɑ̃ ⁵⁵	2622	i m n t	s u/w ɑ̃ - ⁵⁵	2622	352
2210	Dashi	monkey	(u33)suã35	suã35	s u/w ã ³⁵	2622	i m n t	s u/w ã - ³⁵	2622	352
2211	Zhoucheng	monkey	(ou42)sua35	sua35	s u/w a ³⁵	2622	i m n t	s u/w a - ³⁵	2622	352
2212	ProtoBai	month	ŋua4	ŋua4	ŋ u/w a ⁴	2632	i m n t	ŋ u/w a - ⁴	2632	353
2213	Tuoluo	month	ŋuɔ42	ŋuɔ42	ŋ u/w ɔ ⁴²	2632	i m n t	ŋ u/w ɔ - ⁴²	2632	353
2214	Gongxing	month	uaŋ24	uaŋ24	u/w a ŋ ²⁴	2632	i n c t	u/w - a ŋ ²⁴	2632	353
2215	Enqi	month	ua55	ua55	u/w a ⁵⁵	2632	i n t	u/w - a - ⁵⁵	2632	353
2216	Ega	month	ŋua44	ŋua44	ŋ u/w a ⁴⁴	2632	i m n t	ŋ u/w a - ⁴⁴	2632	353
2217	Jinman	month	uaŋ55	uaŋ55	u/w a ŋ ⁵⁵	2632	i n c t	u/w - a ŋ ⁵⁵	2632	353
2218	Jinxing	month	uɑ̃44	uɑ̃44	u/w ɑ̃ ⁴⁴	2632	i n t	u/w - ɑ̃ - ⁴⁴	2632	353
2219	Dashi	month	uaŋ33	uaŋ33	u/w a ŋ ³³	2632	i n c t	u/w - a ŋ ³³	2632	353
2220	Zhoucheng	month	ua44	ua44	u/w a ⁴⁴	2632	i n t	u/w - a - ⁴⁴	2632	353
2221	Mazhelong	month	ŋua44	ŋua44	ŋ u/w a ⁴⁴	2632	i m n t	ŋ u/w a - ⁴⁴	2632	353
2222	ProtoBai	moon	mji1a-ŋua4	mji1a-ŋua4	m j i 1a/¹ + ŋ u/w a 4/⁴	2643 2644	i m n t + i m n t	m j i 1a/¹ + ŋ u/w a - 4/⁴	2643 2644	354
2223	Tuoluo	moon	jien55uo42	jien55uo42	ji/j e n ⁵⁵ + u/w o ⁴²	2646 2644	m n c t + i n t	- ji/j e n ⁵⁵ + u/w - o - ⁴²	2646 2644	354
2224	Gongxing	moon	ɲi24uaŋ55	ɲi24uaŋ55	ɲ i ²⁴ + u/w a ŋ ⁵⁵	2645 2644	i n t + i n c t	ɲ i ²⁴ + u/w - a ŋ ⁵⁵	2645 2644	354
2225	Enqi	moon	miE24ua55	miE24ua55	m i ᴇ/ɛ ²⁴ + u/w a ⁵⁵	2643 2644	i m n t + i n t	m i ᴇ/ɛ ²⁴ + u/w - a - ⁵⁵	2643 2644	354
2226	Ega	moon	ɲia55ŋua44	ɲia55ŋua44	ɲ i/j a ⁵⁵ + ŋ u/w a ⁴⁴	2643 2644	i m n t + i m n t	ɲ i/j a ⁵⁵ + ŋ u/w a - ⁴⁴	2643 2644	354
2227	Jinman	moon	ɲio55ŋõ55	ɲio55ŋõ55	ɲ i/j o ⁵⁵ + ŋ õ ⁵⁵	2643 2644	i m n t + i n t	ɲ i/j o ⁵⁵ + ŋ - õ - ⁵⁵	2643 2644	354
2228	Jinxing	moon	mi55uɑ̃55	mi55uɑ̃55	m i ⁵⁵ + u/w ɑ̃ ⁵⁵	2643 2644	i n t + i n t	m - i ⁵⁵ + u/w - ɑ̃ - ⁵⁵	2643 2644	354
2229	Dashi	moon	mi55uã55	mi55uã55	m i ⁵⁵ + u/w ã ⁵⁵	2643 2644	i n t + i n t	m - i ⁵⁵ + u/w - ã - ⁵⁵	2643 2644	354
2230	Zhoucheng	moon	mi35ua44	mi35ua44	m i ³⁵ + u/w a ⁴⁴	2643 2644	i n t + i n t	m - i ³⁵ + u/w - a - ⁴⁴	2643 2644	354
2231	Mazhelong	moon	mien55ŋua44	mien55ŋua44	m i/j e n ⁵⁵ + ŋ u/w a ⁴⁴	2646 2644	i m n c t + i m n t	m i/j e n ⁵⁵ + ŋ u/w a - ⁴⁴	2646 2644	354
2232	ProtoBai	mosquito	mɯ4	mɯ4	m ɯ ⁴	2664	i n t	m ɯ - ⁴	2664	355
2233	Tuoluo	mosquito	mɯ42	mɯ42	m ɯ ⁴²	2664	i n t	m ɯ - ⁴²	2664	355
2234	Gongxing	mosquito	moŋ24	moŋ24	m o ŋ ²⁴	2664	i n c t	m o ŋ ²⁴	2664	355
2235	Enqi	mosquito	mɯ55	mɯ55	m ɯ ⁵⁵	2664	i n t	m ɯ - ⁵⁵	2664	355
2236	Jinman	mosquito	mo55	mo55	m o ⁵⁵	2664	i n t	m o - ⁵⁵	2664	355
2237	Jinxing	mosquito	mǝ̃44	mǝ̃44	m ə̃ ⁴⁴	2664	i n t	m ə̃ - ⁴⁴	2664	355
2238	Dashi	mosquito	mõ44	mõ44	m õ ⁴⁴	2664	i n t	m õ - ⁴⁴	2664	355
2239	Zhoucheng	mosquito	mɯ44	mɯ44	m ɯ ⁴⁴	2664	i n t	m ɯ - ⁴⁴	2664	355
2240	Mazhelong	mosquito	mo44	mo44	m o ⁴⁴	2664	i n t	m o - ⁴⁴	2664	355
2241	ProtoBai	mother	mø2	mø2	m ø ²	2674	i n t	m ø - ²	2674	356
2242	Tuoluo	mother	mo33	mo33	m o ³³	2674	i n t	m o - ³³	2674	356
2243	Gongxing	mother	mu22	mu22	m u ²²	2674	i n t	m u - ²²	2674	356
2244	Enqi	mother	mo22	mo22	m o ²²	2674	i n t	m o - ²²	2674	356
2245	Ega	mother	mo22	mo22	m o ²²	2674	i n t	m o - ²²	2674	356
2246	Jinman	mother	mo22	mo22	m o ²²	2674	i n t	m o - ²²	2674	356
2247	Jinxing	mother	mõ33	mõ33	m õ ³³	2674	i n t	m õ - ³³	2674	356
2248	Dashi	mother	mouu33	mouu33	m ou ³³	2674	i n t	m ou - ³³	2674	356
2249	Zhoucheng	mother	mo33	mo33	m o ³³	2674	i n t	m o - ³³	2674	356
2250	Mazhelong	mother	moŋ33	moŋ33	m o ŋ ³³	2674	i n c t	m o ŋ ³³	2674	356
2251	ProtoBai	mountain	sro4	sro4	s r o ⁴	2685	i m n t	s r o - ⁴	2685	357
2252	ProtoBai	mountain	sren1	sren1	s r e n ¹	5259	i m n c t	s r e n ¹	5259	357
2253	Tuoluo	mountain	ɕien55	ɕien55	ɕ i/j e n ⁵⁵	2685	i m n c t	ɕ i/j e n ⁵⁵	2685	357
2254	Gongxing	mountain	sao42	sao42	s ao ⁴²	2685	i n t	s - ao - ⁴²	2685	357
2255	Enqi	mountain	ɕio43 (general)/ɕiE24 (snow mountain)	ɕio43	ɕ i/j o ⁴³	2685	i m n t	ɕ i/j o - ⁴³	2685	357
2256	Enqi	mountain	ɕio43 (general)/ɕiE24 (snow mountain)	ɕiE24	ɕ i ᴇ/ɛ ²⁴	5258	i m n t	ɕ i ᴇ/ɛ ²⁴	5258	357
2257	Ega	mountain	sɛ55	sɛ55	s ɛ ⁵⁵	2685	i n t	s - ɛ - ⁵⁵	2685	357
2258	Jinman	mountain	ʂɚ̃55	ʂɚ̃55	ʂ ɚ/ə̃ ⁵⁵	2685	i n t	ʂ - ɚ/ə̃ - ⁵⁵	2685	357
2259	Jinxing	mountain	sṽ42	sṽ42	s ṽ/ʯ̃ ⁴²	2685	i n t	s - ṽ/ʯ̃ - ⁴²	2685	357
2260	Dashi	mountain	ʂo42	ʂo42	ʂ o ⁴²	2685	i n t	ʂ - o - ⁴²	2685	357
2261	Zhoucheng	mountain	sv53	sv53	s v/ʯ ⁵³	2685	i n t	s - v/ʯ - ⁵³	2685	357
2262	Mazhelong	mountain	sen55	sen55	s e n ⁵⁵	2685	i n c t	s - e n ⁵⁵	2685	357
2263	ProtoBai	mouse	sro2	sro2	s r o ²	2698	i m n t	s r o ²	2698	358
2264	Tuoluo	mouse	ʂv33	ʂv33	ʂ v/ʯ ³³	2698	i n t	ʂ - v/ʯ ³³	2698	358
2265	Gongxing	mouse	sao22	sao22	s ao ²²	2698	i n t	s - ao ²²	2698	358
2266	Enqi	mouse	ɕu22	ɕu22	ɕ u ²²	2698	i n t	ɕ - u ²²	2698	358
2267	Ega	mouse	ɕy22	ɕy22	ɕ y ²²	2698	i n t	ɕ - y ²²	2698	358
